scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene4,50.0,11,-8.04,FALSE,180.74,3.702,115.3,0.3771,0.1809,-0.3458
scene4,50.0,12,4.29,FALSE,-7.10,0.629,55.1,0.0000,0.0362,0.0717
scene4,50.0,13,-7.63,FALSE,91.81,0.906,172.3,1.5559,0.0979,1.1948
scene4,50.0,14,-1.09,FALSE,257.58,3.931,65.3,0.0035,0.0000,-1.2844
scene4,50.0,15,3.81,FALSE,59.33,0.104,9.2,0.0000,0.0927,-0.2040
scene4,50.0,16,6.46,FALSE,255.29,0.039,128.5,0.5800,0.1842,-0.5122
scene4,50.0,17,3.94,FALSE,24.45,0.157,114.6,0.3681,0.0618,0.3076
scene4,50.0,18,7.36,FALSE,183.91,8.229,8.1,0.0000,0.0000,-0.9195
scene4,50.0,19,5.89,FALSE,-7.33,0.380,109.2,0.2992,0.0825,0.4184
scene_wheel,10.0,0,3.77,FALSE,3.58,0.146,100.4,0.2014,0.0000,0.1835
scene_wheel,10.0,1,0.97,FALSE,-3.37,0.013,7.4,0.0000,0.0000,0.0169
scene_wheel,10.0,2,0.42,FALSE,1.24,0.363,13.9,0.0000,0.1934,0.1872
scene_wheel,10.0,3,-5.47,FALSE,-3.43,0.109,7.0,0.0000,0.0000,0.0171
scene_wheel,10.0,4,8.76,FALSE,7.39,0.232,4.4,0.0000,0.0000,-0.0370
scene_wheel,10.0,5,0.76,FALSE,-1.88,0.974,15.8,0.0000,0.0000,0.0094
scene_wheel,10.0,6,6.15,FALSE,164.09,10.131,153.8,1.0873,0.1882,0.4550
scene_wheel,10.0,7,-6.46,FALSE,-5.48,0.678,30.3,0.0000,0.0000,0.0274
scene_wheel,10.0,8,-2.22,FALSE,4.39,1.883,168.2,1.4458,0.1860,1.6099
scene_wheel,10.0,9,6.54,FALSE,164.61,1.448,3.9,0.0000,0.1892,-0.6339
scene_wheel,10.0,10,4.88,FALSE,-3.77,1.555,175.2,1.6393,0.0162,1.6743
scene_wheel,10.0,11,3.29,FALSE,4.56,0.514,1.1,0.0000,0.0000,-0.0228
scene_wheel,10.0,12,-8.77,FALSE,5.72,0.169,173.7,1.5948,0.1681,1.7343
scene_wheel,10.0,13,-8.01,FALSE,2.62,0.775,1.4,0.0000,0.0000,-0.0131
scene_wheel,10.0,14,9.28,FALSE,0.58,0.253,4.0,0.0000,0.0000,-0.0029
scene_wheel,10.0,15,10.71,FALSE,7.91,0.482,171.7,1.5401,0.1795,1.6800
scene_wheel,10.0,16,5.93,FALSE,9.44,0.721,29.1,0.0000,0.1904,0.1432
scene_wheel,10.0,17,3.42,FALSE,-0.27,0.852,173.3,1.5853,0.0038,1.5905
scene_wheel,10.0,18,-0.97,FALSE,4.65,1.756,4.9,0.0000,0.1928,0.1696
scene_wheel,10.0,19,-0.06,FALSE,-1.55,1.023,14.8,0.0000,0.0000,0.0077
scene_wheel,30.0,0,4.71,FALSE,8.23,0.803,4.8,0.0000,0.0050,-0.0362
scene_wheel,30.0,1,9.89,FALSE,6.74,1.185,14.4,0.0000,0.0000,-0.0337
scene_wheel,30.0,2,3.03,FALSE,-4.35,1.420,175.1,1.6356,0.0035,1.6609
scene_wheel,30.0,3,-4.63,FALSE,2.14,0.585,8.8,0.0000,0.0000,-0.0107
scene_wheel,30.0,4,7.35,FALSE,6.77,0.621,175.1,1.6344,0.0031,1.6037
scene_wheel,30.0,5,9.75,FALSE,14.83,0.161,0.5,0.0000,0.0000,-0.0741
scene_wheel,30.0,6,-1.18,FALSE,-0.95,0.696,7.5,0.0000,0.0000,0.0047
scene_wheel,30.0,7,-1.75,FALSE,7.01,0.292,6.0,0.0000,0.1936,0.1585
scene_wheel,30.0,8,-9.94,FALSE,-3.64,0.123,8.8,0.0000,0.0000,0.0182
scene_wheel,30.0,9,-8.20,FALSE,6.16,0.441,24.4,0.0000,0.0000,-0.0308
scene_wheel,30.0,10,-2.18,FALSE,0.23,1.075,10.1,0.0000,0.1849,0.1837
scene_wheel,30.0,11,-8.77,FALSE,9.07,0.277,29.2,0.0000,0.0000,-0.0454
scene_wheel,30.0,12,8.82,FALSE,3.64,1.109,27.7,0.0000,0.0000,-0.0182
scene_wheel,30.0,13,4.75,FALSE,-3.78,1.441,100.7,0.2043,0.0066,0.2298
scene_wheel,30.0,14,-9.34,FALSE,2.36,0.241,10.9,0.0000,0.0000,-0.0118
scene_wheel,30.0,15,8.90,FALSE,8.14,1.060,10.9,0.0000,0.0000,-0.0407
scene_wheel,30.0,16,0.95,FALSE,2.75,0.115,1.2,0.0000,0.0000,-0.0137
scene_wheel,30.0,17,-2.12,FALSE,8.98,1.145,169.3,1.4738,0.1026,1.5315
scene_wheel,30.0,18,10.21,FALSE,10.07,0.645,0.6,0.0000,0.0000,-0.0504
scene_wheel,30.0,19,1.01,FALSE,6.25,0.554,102.5,0.2235,0.0000,0.1922
scene_wheel,50.0,0,-3.24,FALSE,10.12,1.150,7.7,0.0000,0.0000,-0.0506
scene_wheel,50.0,1,3.51,FALSE,7.51,0.084,2.5,0.0000,0.1941,0.1566
scene_wheel,50.0,2,-8.37,FALSE,9.49,0.717,164.4,1.3468,0.0659,1.3652
scene_wheel,50.0,3,-4.33,FALSE,-3.60,0.523,30.4,0.0000,0.0000,0.0180
scene_wheel,50.0,4,-4.81,FALSE,0.99,0.543,161.3,1.2670,0.0126,1.2747
scene_wheel,50.0,5,-4.33,FALSE,9.40,0.365,40.2,0.0000,0.0000,-0.0470
scene_wheel,50.0,6,-3.54,FALSE,12.47,0.838,18.8,0.0000,0.0231,-0.0393
scene_wheel,50.0,7,-2.25,FALSE,2.70,0.627,12.0,0.0000,0.1849,0.1714
scene_wheel,50.0,8,2.09,FALSE,8.72,0.602,13.2,0.0000,0.0000,-0.0436
scene_wheel,50.0,9,-5.55,FALSE,2.66,1.079,6.6,0.0000,0.0000,-0.0133
scene_wheel,50.0,10,11.16,FALSE,6.52,1.250,0.2,0.0000,0.0000,-0.0326
scene_wheel,50.0,11,-3.09,FALSE,4.24,0.758,2.4,0.0000,0.0000,-0.0212
scene_wheel,50.0,12,-10.48,FALSE,9.79,1.349,19.3,0.0000,0.0000,-0.0490
scene_wheel,50.0,13,-11.09,FALSE,7.86,0.183,23.6,0.0000,0.0000,-0.0393
scene_wheel,50.0,14,-6.07,FALSE,8.81,0.054,61.2,0.0002,0.1935,0.1496
scene_wheel,50.0,15,4.77,FALSE,2.99,1.463,45.6,0.0000,0.1018,0.0868
scene_wheel,50.0,16,9.67,FALSE,6.15,1.172,9.4,0.0000,0.0000,-0.0307
scene_wheel,50.0,17,-5.42,FALSE,12.26,1.260,165.2,1.3655,0.0010,1.3052
scene_wheel,50.0,18,8.23,FALSE,10.07,0.387,18.6,0.0000,0.0000,-0.0504
scene_wheel,50.0,19,-1.38,FALSE,-0.85,0.983,146.9,0.9334,0.0010,0.9386
