id,cost,velocity_scene4,velocity_scene2,cost_scene4,cost_scene2,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,kp_mag
a78cacd7,0.06689086540929473,6.950856749404206e-05,-0.01106308012284566,0.04407081123309345,0.02282005417620129,0.007878086435769403,0.002413759893839987,0.00012103666978722301,0.009260891397737187,0.8300666684209099,0.99,0.9621845402760287,0.00014344919898770403,1e-07
94197472,0.06727479572226398,2.9155135338040096e-05,-0.012272912985481593,0.04408775569317993,0.02318704002908405,0.49319611784598844,0.040356294137782814,0.00023285502230785236,0.02436177328133908,0.9578020392068565,0.8468159529102466,0.9753866418348109,0.0033608870894425826,1.7186530487627517e-07
7d6703ac,0.06778197191750421,-0.00046850101772592025,-0.013248106013926682,0.04429698992064849,0.023484981996855715,0.005108435950726312,0.004845660226751177,0.003590809961114451,0.006241683987481407,0.5092580796227689,0.99,0.962306108547664,0.0008173287910510884,1e-07
d2db28fe,0.06905530377279828,-3.593538712328861e-05,-0.01792469603850579,0.04411509415394383,0.024940209618854455,0.004261888479832924,0.00020993148370144192,0.000540458749734167,0.0068691209965471706,0.536049205867435,0.8867329774379893,0.962839288700783,0.000993312231092836,1e-07
75f366fa,0.07040662792185172,0.00010375461681578977,-0.022327428661621553,0.044056433825957884,0.026350194095893835,0.0011020105567762209,0.0341288013612273,0.00019832619693868143,0.013086707515366666,0.7769658923462524,0.9722974038936933,0.9633344802198471,0.0019741504223018524,1.002399298344885e-07
03cbb234,0.07125551344339665,-4.209246589385794e-05,-0.024735645310738817,0.044117680607451096,0.02713783283594555,0.00011820086493322136,0.0017076859609909507,0.00041242471620724303,0.007424332463789176,0.582439286475255,0.8469064519393342,0.9841189093691496,0.002657915561441959,1.9777612333286085e-07
7cada0b3,0.07266898380767349,0.009900840351643118,-0.040635849475387564,0.04003967369197861,0.03262931011569488,0.0002726367708183975,0.0012542808793556662,0.0022327455488383844,0.04516071685887378,0.20836291237143656,0.9478036478784171,0.9814924255587423,0.0023751416444004504,1.6477269843032263e-07
b5892c95,0.07349201216747134,0.00010038595829675188,-0.031563877878227474,0.044057847974855985,0.029434164192615356,0.004882343634919681,0.04357556356318024,0.0001467859774450292,0.023564209589909225,0.5504495880894738,0.9214441593750047,0.9618392189943844,0.002294347364283441,1.2781347949558987e-07
55db7cff,8.899042383689283,0.3088641054249627,0.1623341868936318,8.898543567785083,0.0004988159041996738,0.0010788973683078906,5.652484036624469e-05,0.05241471250894498,0.042087874559095635,0.1864163455304023,0.9322921337872958,0.980890284665209,0.000941050009615354,1.1317579033975759e-06
a0cf00c8,18.356771254442787,0.0628227436903273,0.04844115685545914,0.021661144774843096,18.335110109667944,0.21091212989725663,0.00011516940624854562,0.0005027590665596977,0.0682378448609185,0.9791720145989179,0.819262937503708,0.9960773802528767,0.0013048524728747901,5.976698843308726e-07
bbb8dfb7,20.369660522208882,0.0546776891611953,0.07947956913934398,0.024125020244306263,20.345535501964576,0.18187603005880892,0.00032195776950468994,0.07561073132108793,0.07956976969051187,0.33189821464652247,0.9874483040206633,0.9510704530884887,0.006077893538084878,7.206580987503109e-07
60c12970,46.660740125304535,0.22682094665446484,0.14452662492940285,42.28426268157414,4.376477443730394,0.779850548345484,0.0001167142966207424,0.08062316132568978,0.04169266431850491,0.16279639251104194,0.8655635371250698,0.9810832158903668,0.0022983221528155053,1.1531058266441366e-06
2d2ffe13,50.06671504156137,0.33264361842288753,0.03478618566257098,0.015041457139858841,50.051673584421515,0.047285934862842285,0.008616125001632549,0.018431497222035822,0.06477776397728352,0.14622503641527226,0.8064923281864269,0.9816114902086915,0.0005093886774134969,5.080583851286598e-07
1305b22a,63.36608630580937,4.067087575928425e-05,0.00024560956217734513,0.04408291988630123,63.32200338592307,1.761262695665756e-05,0.002621356705389017,0.0005536898202042,0.05348911386210294,0.6199401339377406,0.8148708140375562,0.9607902563714082,0.004426356635596536,2.4308634309371044e-07
